-------------- LOGIC FILE --------------
-------------- CELL INFORMATION --------
Size	[4:4:9]
================= Start Level1 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level2 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level3 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level4 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level5 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level6 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level7 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level8 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level9 ==========
-------------- ENGINE INFORMATION ------
