-------------- LOGIC FILE --------------
-------------- CELL INFORMATION --------
Size	[4:3:5]
================= Start Level1 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level2 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level3 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level4 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
================= Start Level5 ==========
#########
#* * * *#
#       #
#* * * *#
#       #
#* * * *#
#########
-------------- ENGINE INFORMATION ------
