-------------- LOGIC FILE --------------
-------------- CELL INFORMATION --------
Size	[9:8:7]
================= Start Level1 ==========
###################
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
###################
================= Start Level2 ==========
###################
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
###################
================= Start Level3 ==========
###################
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
###################
================= Start Level4 ==========
###################
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
###################
================= Start Level5 ==========
###################
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
###################
================= Start Level6 ==========
###################
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
###################
================= Start Level7 ==========
###################
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
#                 #
#* * * * * * * * *#
###################

-------------- ENGINE INFORMATION ------
