-------------- LOGIC FILE --------------
-------------- CELL INFORMATION --------
Size	[10:10:6]
================= Start Level1 ==========
#####################
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#####################
================= Start Level2 ==========
#####################
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#####################
================= Start Level3 ==========
#####################
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#####################
================= Start Level4 ==========
#####################
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#####################
================= Start Level5 ==========
#####################
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#####################
================= Start Level6 ==========
#####################
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#                   #
#* * * * * * * * * *#
#####################
-------------- ENGINE INFORMATION ------
